address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,Unnamed: 19,lat,lon
"983 MB-26, Saint François Xavier, MB ",,St. François Xavier,St. Francois Xavier Community Club,http://www.rm-stfrancois.mb.ca/main.aspx?CategoryCode=71C5B41B-2BE9-45BB-BE76-B808B9C1C779&pageCode=7184CC72-6ABF-4FB1-8D3C-F708996C8F9A#.Xi76lyiJK70,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9103155,-97.5356359
"99 Springside Dr, Winnipeg, MB",,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.853539,-97.118662
"99 Springside Dr, Winnipeg, MB",,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.853539,-97.118662
"99 Springside Dr, Winnipeg, MB",,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,49.853539,-97.118662
"99 Springside Dr, Winnipeg, MB",,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,49.853539,-97.118662
"999 Sargent Avenue, MB",,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.8977578,-97.180647
"999 Sargent Avenue, MB",,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,49.8977578,-97.180647
"999 Sargent Avenue, MB",,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8977578,-97.180647
"999 Sargent Avenue, MB",,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,,49.8977578,-97.180647
"999 Sargent Avenue, MB",,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8977578,-97.180647
"Domain, MB (M0G 0M0)",,Macdonald,Domain Arena,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51",Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.612845,-97.32198
"MB-221, Rosser, MB",,Rosser,Rosser Community centre,"http://www.rmofrosser.com/main.asp?fxoid=FXMenu,7&cat_ID=4&sub_ID=73",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,50.0005809,-97.5052871
"Sir George Etienne Cartier Park, Ste. Agathe, MB",,Ritchot,Red River Valley Floods Interpretive Centre ,https://www.ritchot.com/p/recreation-centres-arenas-,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.5715681,-97.1918606
