address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments,lat,lon
"235 Boul Labelle, Rosemere, QC",,Rosemère,Centre Sportif Rosemere,https://centresportifrosemere.com/,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,45.6239208,-73.8051208
"235 Rue Saint-Antoine-Nord, Lavaltrie, QC",,Lavaltrie,Des Jeunes de Lavaltrie,https://www.mdjlavaltrie.com/,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,,45.8877017,-73.2842847
"2355 Trans-Canada Hwy, Pointe-Claire, QC",,Pointe-Claire,Mon Gym West Island,http://www.mon-gym.com/,Physical Recreation & Sports,Playgrounds ,Indoor,Public,,,,,,,,,,,,45.4802303,-73.7972141
"2356 Centre St, Montreal, QC",,Montréal,Carrefour D'Education Populaire de Pointe-Saint-Charles,http://carrefourpop.org/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4799682,-73.5665885
"2365 Rue Grand Trunk, Montreal, QC",,Montréal,Saint Columba House,https://www.saintcolumbahouse.org/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4789716,-73.5654206
"238 Rue Beaupre, Sainte-Anne-des-Plaines, QC",,Sainte-Anne-des-Plaines,Maison de la Famille de Sainte-Anne-des-Plaines,http://maisondelafamillesadp.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.7640405,-73.8102317
"2385 Boulevard Thimens, Montréal, QC",,Montréal,Complexe sportif de Saint-Laurent,https://montreal.ca/en/places/complexe-sportif-de-saint-laurent,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5077114,-73.7033951
"2385 Boulevard Thimens, Montréal, QC",,Montréal,Complexe sportif de Saint-Laurent,https://montreal.ca/en/places/complexe-sportif-de-saint-laurent,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.5077114,-73.7033951
"2385 Boulevard Thimens, Montréal, QC",,Montréal,Complexe sportif de Saint-Laurent,https://montreal.ca/en/places/complexe-sportif-de-saint-laurent,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,45.5077114,-73.7033951
"2385 Boulevard Thimens, Montréal, QC",,Montréal,Complexe sportif de Saint-Laurent,https://montreal.ca/en/places/complexe-sportif-de-saint-laurent,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.5077114,-73.7033951
"2385 Boulevard Thimens, Montréal, QC",,Montréal,Complexe sportif de Saint-Laurent,https://montreal.ca/en/places/complexe-sportif-de-saint-laurent,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,45.5077114,-73.7033951
"2385 Boulevard Thimens, Montréal, QC",,Montréal,Complexe sportif de Saint-Laurent,https://montreal.ca/en/places/complexe-sportif-de-saint-laurent,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,45.5077114,-73.7033951
