Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address,google_type,google_latitude,google_longitude
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-activity-centre,BC,Kelowna,Kelowna,Rutland Activity Centre,"765 Dodd Rd, Kelowna, BC ",ROOFTOP,49.8976324,-119.3803911
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-activity-centre,BC,Kelowna,Kelowna,Rutland Activity Centre,"765 Dodd Rd, Kelowna, BC ",ROOFTOP,49.8976324,-119.3803911
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-activity-centre,BC,Kelowna,Kelowna,Rutland Activity Centre,"765 Dodd Rd, Kelowna, BC ",ROOFTOP,49.8976324,-119.3803911
https://www.kelowna.ca/parks-recreation/recreation-facilities/kinsmen-media-centre,BC,Kelowna,Kelowna,Kinsmen Media Centre,"900 Lexington Dr, Kelowna, BC",RANGE_INTERPOLATED,49.8402572,-119.4740578
https://www.kelowna.ca/parks-recreation/recreation-facilities/kinsmen-fieldhouse-hall,BC,Kelowna,Kelowna,Kinsmen Fieldhouse Hall,"3975 Gordon Dr, Kelowna, BC ",ROOFTOP,49.8396134,-119.4821424
https://kelowna.cioc.ca/record/KNA1742,BC,Kelowna,Kelowna,Metis Community Services,"147 Park Rd, Kelowna, BC  ",ROOFTOP,49.8883032,-119.3884439
https://airhouse.ca/locations,BC,Kelowna,Kelowna,Airhouse Kelowna,"730 McCurdy Rd, Kelowna, BC ",ROOFTOP,49.9015918,-119.4004125
https://airhouse.ca/locations,BC,Kelowna,Kelowna,Airhouse Kelowna,"730 McCurdy Rd, Kelowna, BC ",ROOFTOP,49.9015918,-119.4004125
https://ojcc.ca/,BC,Kelowna,Kelowna,Okanagan Jewish Community Centre,"102 Snowsell St N, Kelowna, BC  ",ROOFTOP,49.92890329999999,-119.4381622
https://www.regionaldistrict.com/your-services/parks-services/park-and-facility-booking/joe-rich-community-hall.aspx,BC,Kelowna,Kelowna,Joe Rich Community Hall,"11481 BC-33, Kelowna, BC ",ROOFTOP,49.8644547,-119.1411549
https://kelownabadminton.ca/,BC,Kelowna,Kelowna,Kelowna Badminton Club,"1098 Richter St, Kelowna, BC ",ROOFTOP,49.8956712,-119.4889277
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC ",ROOFTOP,49.938546,-119.3973762
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC ",ROOFTOP,49.938546,-119.3973762
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC ",ROOFTOP,49.938546,-119.3973762
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC ",ROOFTOP,49.938546,-119.3973762
