Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address
https://www.westkelownacity.ca/en/parks-recreation-and-culture/johnson-bentley-aquatic-centre.aspx,BC,Kelowna,West Kelowna,Johnson Bentley Memorial Aquatic Centre,"3737 Old Okanagan Hwy, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/johnson-bentley-aquatic-centre.aspx,BC,Kelowna,West Kelowna,Johnson Bentley Memorial Aquatic Centre,"3737 Old Okanagan Hwy, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/lakeview-heights-community-hall.aspx,BC,Kelowna,West Kelowna,Lakeview Heights Community Hall,"860 Anders Rd, West Kelowna, BC "
https://www.westkelownacity.ca/en/our-community/multi-sport-dome.aspx,BC,Kelowna,West Kelowna,West Kelowna Multi-Sport Dome,"2139 McDougall Rd, West Kelowna, BC "
https://www.westkelownacity.ca/en/our-community/multi-sport-dome.aspx,BC,Kelowna,West Kelowna,West Kelowna Multi-Sport Dome,"2139 McDougall Rd, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/seniors-centre.aspx,BC,Kelowna,West Kelowna,Westside Senior Citizens Service Association Activity Centre,"3661 Old Okanagan Hwy, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/seniors-centre.aspx,BC,Kelowna,West Kelowna,Westside Senior Citizens Service Association Activity Centre,"3661 Old Okanagan Hwy, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/webber-road-community-centre.aspx,BC,Kelowna,West Kelowna,Webber Road Community Centre,"2829 Inverness Rd, West Kelowna, BC  "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/webber-road-community-centre.aspx,BC,Kelowna,West Kelowna,Webber Road Community Centre,"2829 Inverness Rd, West Kelowna, BC  "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/westbank-lions-community-centre.aspx,BC,Kelowna,West Kelowna,Westbank Lions Community Centre,"2466 Main St, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/youth-centre.aspx,BC,Kelowna,West Kelowna,Westside Youth Centre,"2466 Main St, West Kelowna, BC "
https://www.lakecountry.bc.ca/modules/facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=9&CloseMap=false&Scroll=true&id=af9be557-8b8a-41e2-b534-497747b3e396,BC,Kelowna,Lake Country,Winfield Arena,"9830 Bottom Wood Lake Rd, Lake Country, BC "
https://www.lakecountry.bc.ca/en/living-in-our-community/seniors.aspx,BC,Kelowna,Lake Country,Lake Country Seniors Activity Centre,"9832 Bottom Wood Lake Rd, Lake Country, BC  "
http://www.okanagancentre.net/,BC,Kelowna,Lake Country,Okanagan Centre Hall,"11099 Maddock Ave, Lake Country, BC "
https://www.lakecountry.bc.ca/modules/facilities/Detail.aspx?id=858f862a-26c2-4e8e-ada0-7bbcccaff6fc,BC,Kelowna,Lake Country,Beasley Community Centre,"3450 Woodsdale Rd, Lake Country, BC  "
https://www.peachland.ca/community-centre,BC,Kelowna,Peachland,Peachland Community Centre,"4450 6 St, Peachland, BC"
https://www.peachlandwellnesscentre.ca/,BC,Kelowna,Peachland,Peachland Wellness Centre,"4426 5th St, Peachland, BC "
https://www.peachland.ca/50-activity-centre,BC,Kelowna,Peachland,50+ Activity Centre,"5672 Beach Ave, Peachland, BC"
https://www.peachland.ca/50-activity-centre,BC,Kelowna,Peachland,50+ Activity Centre,"5672 Beach Ave, Peachland, BC"
https://www.vernonotr.com/,BC,Kelowna,Central Okanagan,Okanagan Training Rink,"5204 27 Ave, Vernon, BC "
https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx,BC,Vancouver,Vancouver,Douglas Park Community Centre,"801 W 22nd Ave, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx,BC,Vancouver,Vancouver,Douglas Park Community Centre,"801 W 22nd Ave, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx,BC,Vancouver,Vancouver,Douglas Park Community Centre,"801 W 22nd Ave, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,BC,Vancouver,Vancouver,Kensington Community Centre,"5175 Dumfries St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,BC,Vancouver,Vancouver,Kensington Community Centre,"5175 Dumfries St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,BC,Vancouver,Vancouver,Kensington Community Centre,"5175 Dumfries St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,BC,Vancouver,Vancouver,Kitsilano War Memorial Community Centre,"2690 Larch St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,BC,Vancouver,Vancouver,Kitsilano War Memorial Community Centre,"2690 Larch St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,BC,Vancouver,Vancouver,Kitsilano War Memorial Community Centre,"2690 Larch St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/evelyne-saller-centre.aspx,BC,Vancouver,Vancouver,Evelyne Saller Centre,"320 Alexander St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,BC,Vancouver,Vancouver,Mount Pleasant Community Centre,"1 Kingsway, Vancouver, BC"
