CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes
,,Marpole-Oakridge Community Centre,https://vancouver.ca/parks-recreation-culture/marpole-oakridge-community-centre.aspx,"990 W 59th Ave, Vancouver, BC V6P 1X9",Leisure / Community Centres,General,Both,Public,990,W 59th Avenue,,Vancouver,BC,V6P 1X9,,,"community centre with pre-school, youth centre, gym, racquetball, fitness, tennis, water park, playground",
,,Marpole-Oakridge Community Centre,https://vancouver.ca/parks-recreation-culture/marpole-oakridge-community-centre.aspx,"990 W 59th Ave, Vancouver, BC V6P 1X9",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,990,W 59th Avenue,,Vancouver,BC,V6P 1X9,,,"community centre with pre-school, youth centre, gym, racquetball, fitness, tennis, water park, playground",
,,Marpole-Oakridge Community Centre,https://vancouver.ca/parks-recreation-culture/marpole-oakridge-community-centre.aspx,"990 W 59th Ave, Vancouver, BC V6P 1X9",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,990,W 59th Avenue,,Vancouver,BC,V6P 1X9,,,"community centre with pre-school, youth centre, gym, racquetball, fitness, tennis, water park, playground",
,,Marpole-Oakridge Community Centre,https://vancouver.ca/parks-recreation-culture/marpole-oakridge-community-centre.aspx,"990 W 59th Ave, Vancouver, BC V6P 1X9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,990,W 59th Avenue,,Vancouver,BC,V6P 1X9,,,"community centre with pre-school, youth centre, gym, racquetball, fitness, tennis, water park, playground",
,,Marpole Curling Club,http://marpolecurling.ca/,"8730 Heather St, Vancouver, BC V6P 3S8",Ice,Curling,Indoor,Public,8730,Heather Street,,Vancouver,BC,V6P 3S8,,,,
,,Carnegie Centre Community Centre,https://vancouver.ca/parks-recreation-culture/carnegie-community-centre.aspx,"401 Main St, Vancouver, BC V6A 2T7",Leisure / Community Centres,General,Indoor,Public,401,Main Street,,Vancouver,BC,V6A 2T7,,,"community centre for low income adults (including seniors), gym, fitness",
,,Carnegie Centre Community Centre,https://vancouver.ca/parks-recreation-culture/carnegie-community-centre.aspx,"401 Main St, Vancouver, BC V6A 2T7",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,401,Main Street,,Vancouver,BC,V6A 2T7,,,"community centre for low income adults (including seniors), gym, fitness",
,,Carnegie Centre Community Centre,https://vancouver.ca/parks-recreation-culture/carnegie-community-centre.aspx,"401 Main St, Vancouver, BC V6A 2T7",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,401,Main Street,,Vancouver,BC,V6A 2T7,,,"community centre for low income adults (including seniors), gym, fitness",
,,Hillcrest Community Centre,https://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Leisure / Community Centres,General,Both,Public,4575,Clancy Loranger Way,,Vancouver,BC,V5Y 2M4,,,"community centre, aquatic centre, fitness, ice rink, curling, gym, playgrounds",
,,Hillcrest Community Centre,https://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Aquatics,25m pool with or without other pools,Both,Public,4575,Clancy Loranger Way,,Vancouver,BC,V5Y 2M4,,,"community centre, aquatic centre, fitness, ice rink, curling, gym, playgrounds",
,,Hillcrest Community Centre,https://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Ice,Single surface,Indoor,Public,4575,Clancy Loranger Way,,Vancouver,BC,V5Y 2M4,,,"community centre, aquatic centre, fitness, ice rink, curling, gym, playgrounds",
,,Hillcrest Community Centre,https://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Ice,Curling,Indoor,Public,4575,Clancy Loranger Way,,Vancouver,BC,V5Y 2M4,,,"community centre, aquatic centre, fitness, ice rink, curling, gym, playgrounds",
,,Hillcrest Community Centre,https://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,4575,Clancy Loranger Way,,Vancouver,BC,V5Y 2M4,,,"community centre, aquatic centre, fitness, ice rink, curling, gym, playgrounds",
,,Hillcrest Community Centre,https://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,4575,Clancy Loranger Way,,Vancouver,BC,V5Y 2M4,,,"community centre, aquatic centre, fitness, ice rink, curling, gym, playgrounds",
,,Sunset Community Centre,https://vancouver.ca/parks-recreation-culture/sunset-community-centre.aspx,"6810 Main St, Vancouver, BC V5X 0A1",Leisure / Community Centres,General,Both,Public,6810,Main Street,,Vancouver,BC,V5X 0A1,,,"community centre, fitness, playground",
,,Sunset Community Centre,https://vancouver.ca/parks-recreation-culture/sunset-community-centre.aspx,"6810 Main St, Vancouver, BC V5X 0A1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,6810,Main Street,,Vancouver,BC,V5X 0A1,,,"community centre, fitness, playground",
,,Trout Lake Community Centre,https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx,"3360 Victoria Dr, Vancouver, BC V5N 4M4",Leisure / Community Centres,General,Both,Public,3360,Victoria Drive,,Vancouver,BC,V5N 4M4,,,"community centre, ice rink, gym, fitness, outdoor performance plaza",
,,Trout Lake Community Centre,https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx,"3360 Victoria Dr, Vancouver, BC V5N 4M4",Ice,Single surface,Indoor,Public,3360,Victoria Drive,,Vancouver,BC,V5N 4M4,,,"community centre, ice rink, gym, fitness, outdoor performance plaza",
,,Trout Lake Community Centre,https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx,"3360 Victoria Dr, Vancouver, BC V5N 4M4",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,3360,Victoria Drive,,Vancouver,BC,V5N 4M4,,,"community centre, ice rink, gym, fitness, outdoor performance plaza",
,,Trout Lake Community Centre,https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx,"3360 Victoria Dr, Vancouver, BC V5N 4M4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,3360,Victoria Drive,,Vancouver,BC,V5N 4M4,,,"community centre, ice rink, gym, fitness, outdoor performance plaza",
,,Champlain Heights Community Centre,https://champlainheightscc.ca/facilities,"3350 Maquinna Dr, Vancouver, BC V5S 4C6",Leisure / Community Centres,General,Indoor,Public,3350,Maquinna Drive,,Vancouver,BC,V5S 4C6,,,"community centre, gym, fitness, badminton",
,,Champlain Heights Community Centre,https://champlainheightscc.ca/facilities,"3350 Maquinna Dr, Vancouver, BC V5S 4C6",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,3350,Maquinna Drive,,Vancouver,BC,V5S 4C6,,,"community centre, gym, fitness, badminton",
,,Champlain Heights Community Centre,https://champlainheightscc.ca/facilities,"3350 Maquinna Dr, Vancouver, BC V5S 4C6",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,3350,Maquinna Drive,,Vancouver,BC,V5S 4C6,,,"community centre, gym, fitness, badminton",
,,Ray-Cam Co-Operative Center,http://raycam.org/,"920 E Hastings St, Vancouver, BC V6A 3T1",Leisure / Community Centres,General,Indoor,Public,920,E Hastings Street,,Vancouver,BC,V6A 3T1,,,"community centre for children, youth, adults and seniors, gym, fitness",
